id	study_id	run_id	organism	type	descriptor	cell_type	cell_type_color	study_symbol
SRP049340_SRR1633320	SRP049340	SRR1633320	Homo_sapiens	Differentiated	hiF-T	fibroblast	#377eb8	8
SRP049340_SRR1633321	SRP049340	SRR1633321	Homo_sapiens	Differentiated	hiF-T	fibroblast	#377eb8	8
SRP049340_SRR1633322	SRP049340	SRR1633322	Homo_sapiens	Differentiated	hiF-T	fibroblast	#377eb8	8
SRP049340_SRR1633323	SRP049340	SRR1633323	Homo_sapiens	Differentiated	hiF-T	fibroblast	#377eb8	8
SRP049340_SRR1633324	SRP049340	SRR1633324	Homo_sapiens	Differentiated	hiF-T	fibroblast	#377eb8	8
SRP049340_SRR1633325	SRP049340	SRR1633325	Homo_sapiens	Differentiated	hiF-T	fibroblast	#377eb8	8
SRP049340_SRR1633326	SRP049340	SRR1633326	Homo_sapiens	Differentiated	hiF-T	fibroblast	#377eb8	8
SRP049340_SRR1633327	SRP049340	SRR1633327	Homo_sapiens	Differentiated	hiF-T	fibroblast	#377eb8	8
SRP049340_SRR1633328	SRP049340	SRR1633328	Homo_sapiens	Differentiated	hiF-T	fibroblast	#377eb8	8
SRP049340_SRR1633349	SRP049340	SRR1633349	Homo_sapiens	Pluripotent	iPSC_hiF	iPSC	#e41a1c	8
SRP049340_SRR1633350	SRP049340	SRR1633350	Homo_sapiens	Pluripotent	iPSC_hiF	iPSC	#e41a1c	8
SRP049340_SRR1633351	SRP049340	SRR1633351	Homo_sapiens	Pluripotent	iPSC_hiF	iPSC	#e41a1c	8
SRP049340_SRR1633352	SRP049340	SRR1633352	Homo_sapiens	Pluripotent	iPSC_hiF	iPSC	#e41a1c	8
SRP049340_SRR1633353	SRP049340	SRR1633353	Homo_sapiens	Pluripotent	iPSC_hiF-T	iPSC	#e41a1c	8
SRP049340_SRR1633354	SRP049340	SRR1633354	Homo_sapiens	Pluripotent	iPSC_hiF-T	iPSC	#e41a1c	8
SRP049340_SRR1633355	SRP049340	SRR1633355	Homo_sapiens	Pluripotent	iPSC_hiF-T	iPSC	#e41a1c	8
SRP049340_SRR1633356	SRP049340	SRR1633356	Homo_sapiens	Pluripotent	iPSC_hiF-T	iPSC	#e41a1c	8
SRP049340_SRR1633357	SRP049340	SRR1633357	Homo_sapiens	Pluripotent	iPSC_hiF-T	iPSC	#e41a1c	8
SRP049340_SRR1633358	SRP049340	SRR1633358	Homo_sapiens	Pluripotent	iPSC_hiF-T	iPSC	#e41a1c	8
SRP049340_SRR1633359	SRP049340	SRR1633359	Homo_sapiens	Pluripotent	iPSC_hiF-T	iPSC	#e41a1c	8
SRP049340_SRR1633360	SRP049340	SRR1633360	Homo_sapiens	Pluripotent	iPSC_hiF-T	iPSC	#e41a1c	8
SRP049340_SRR1633361	SRP049340	SRR1633361	Homo_sapiens	Pluripotent	iPSC_hiF-T	iPSC	#e41a1c	8
SRP049340_SRR1633362	SRP049340	SRR1633362	Homo_sapiens	Pluripotent	iPSC_hiF-T	iPSC	#e41a1c	8
SRP049340_SRR1633363	SRP049340	SRR1633363	Homo_sapiens	Pluripotent	iPSC_hiF-T	iPSC	#e41a1c	8
SRP049340_SRR1633364	SRP049340	SRR1633364	Homo_sapiens	Pluripotent	iPSC_hiF-T	iPSC	#e41a1c	8
SRP052014_SRR1752080	SRP052014	SRR1752080	Mus_musculus	Pluripotent	iPSC_SSC	iPSC	#e41a1c	9
SRP052014_SRR1752081	SRP052014	SRR1752081	Mus_musculus	Pluripotent	iPSC_SSC	iPSC	#e41a1c	9
SRP052014_SRR1752082	SRP052014	SRR1752082	Mus_musculus	Pluripotent	iPSC_SSC	iPSC	#e41a1c	9
SRP052014_SRR1752086	SRP052014	SRR1752086	Mus_musculus	Differentiated	SSC	SSC	#984ea3	9
SRP052014_SRR1752087	SRP052014	SRR1752087	Mus_musculus	Differentiated	SSC	SSC	#984ea3	9
SRP052014_SRR1752088	SRP052014	SRR1752088	Mus_musculus	Differentiated	SSC	SSC	#984ea3	9
SRP056571_SRR1930152	SRP056571	SRR1930152	Mus_musculus	Differentiated	MEF	fibroblast	#377eb8	10
SRP056571_SRR1930153	SRP056571	SRR1930153	Mus_musculus	Differentiated	MEF	fibroblast	#377eb8	10
SRP056571_SRR1930161	SRP056571	SRR1930161	Mus_musculus	Pluripotent	iPSC	iPSC	#e41a1c	10
SRP056571_SRR1930162	SRP056571	SRR1930162	Mus_musculus	Pluripotent	iPSC	iPSC	#e41a1c	10
SRP059670_SRR2070926	SRP059670	SRR2070926	Mus_musculus	Differentiated	MEF	fibroblast	#377eb8	11
SRP059670_SRR2070927	SRP059670	SRR2070927	Mus_musculus	Differentiated	MEF	fibroblast	#377eb8	11
SRP059670_SRR2070928	SRP059670	SRR2070928	Mus_musculus	Differentiated	MEF	fibroblast	#377eb8	11
SRP059670_SRR2070944	SRP059670	SRR2070944	Mus_musculus	Pluripotent	iPSC	iPSC	#e41a1c	11
SRP059670_SRR2070945	SRP059670	SRR2070945	Mus_musculus	Pluripotent	iPSC	iPSC	#e41a1c	11
SRP059670_SRR2070946	SRP059670	SRR2070946	Mus_musculus	Pluripotent	iPSC	iPSC	#e41a1c	11
SRP059670_SRR2070947	SRP059670	SRR2070947	Mus_musculus	Differentiated	MEF	fibroblast	#377eb8	11
SRP059670_SRR2070948	SRP059670	SRR2070948	Mus_musculus	Differentiated	MEF	fibroblast	#377eb8	11
SRP059670_SRR2070949	SRP059670	SRR2070949	Mus_musculus	Differentiated	MEF	fibroblast	#377eb8	11
SRP059670_SRR2070965	SRP059670	SRR2070965	Mus_musculus	Pluripotent	iPSC	iPSC	#e41a1c	11
SRP059670_SRR2070966	SRP059670	SRR2070966	Mus_musculus	Pluripotent	iPSC	iPSC	#e41a1c	11
SRP059670_SRR2070967	SRP059670	SRR2070967	Mus_musculus	Pluripotent	iPSC	iPSC	#e41a1c	11
SRP063867_SRR2453299	SRP063867	SRR2453299	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453300	SRP063867	SRR2453300	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453301	SRP063867	SRR2453301	Homo_sapiens	Pluripotent	iPSC_isogenic	iPSC	#e41a1c	13
SRP063867_SRR2453302	SRP063867	SRR2453302	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453303	SRP063867	SRR2453303	Homo_sapiens	Pluripotent	iPSC_isogenic	iPSC	#e41a1c	13
SRP063867_SRR2453304	SRP063867	SRR2453304	Homo_sapiens	Pluripotent	iPSC_isogenic	iPSC	#e41a1c	13
SRP063867_SRR2453305	SRP063867	SRR2453305	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453306	SRP063867	SRR2453306	Homo_sapiens	Pluripotent	iPSC_isogenic	iPSC	#e41a1c	13
SRP063867_SRR2453307	SRP063867	SRR2453307	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453308	SRP063867	SRR2453308	Homo_sapiens	Pluripotent	iPSC_isogenic	iPSC	#e41a1c	13
SRP063867_SRR2453309	SRP063867	SRR2453309	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453310	SRP063867	SRR2453310	Homo_sapiens	Pluripotent	iPSC_isogenic	iPSC	#e41a1c	13
SRP063867_SRR2453311	SRP063867	SRR2453311	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453312	SRP063867	SRR2453312	Homo_sapiens	Pluripotent	iPSC_isogenic	iPSC	#e41a1c	13
SRP063867_SRR2453313	SRP063867	SRR2453313	Homo_sapiens	Pluripotent	iPSC_isogenic	iPSC	#e41a1c	13
SRP063867_SRR2453314	SRP063867	SRR2453314	Homo_sapiens	Pluripotent	iPSC_isogenic	iPSC	#e41a1c	13
SRP063867_SRR2453318	SRP063867	SRR2453318	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453319	SRP063867	SRR2453319	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453320	SRP063867	SRR2453320	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453323	SRP063867	SRR2453323	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453332	SRP063867	SRR2453332	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453333	SRP063867	SRR2453333	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453334	SRP063867	SRR2453334	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453335	SRP063867	SRR2453335	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453336	SRP063867	SRR2453336	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP063867_SRR2453341	SRP063867	SRR2453341	Homo_sapiens	Differentiated	fibro_isogenic	fibroblast	#377eb8	13
SRP064357_SRR2541723	SRP064357	SRR2541723	Mus_musculus	Differentiated	MEF	fibroblast	#377eb8	14
SRP064357_SRR2541724	SRP064357	SRR2541724	Mus_musculus	Differentiated	MEF	fibroblast	#377eb8	14
SRP064357_SRR2541737	SRP064357	SRR2541737	Mus_musculus	Pluripotent	ciPSC	iPSC	#e41a1c	14
SRP064357_SRR2541738	SRP064357	SRR2541738	Mus_musculus	Pluripotent	ciPSC	iPSC	#e41a1c	14
SRP064357_SRR2541739	SRP064357	SRR2541739	Mus_musculus	Pluripotent	ciPSC	iPSC	#e41a1c	14
SRP064357_SRR2541740	SRP064357	SRR2541740	Mus_musculus	Pluripotent	ciPSC	iPSC	#e41a1c	14
SRP064357_SRR2541741	SRP064357	SRR2541741	Mus_musculus	Pluripotent	ciPSC	iPSC	#e41a1c	14
SRP064357_SRR2541742	SRP064357	SRR2541742	Mus_musculus	Pluripotent	ciPSC	iPSC	#e41a1c	14
SRP064357_SRR2541743	SRP064357	SRR2541743	Mus_musculus	Pluripotent	ciPSC	iPSC	#e41a1c	14
