study_id	organism	endpoint_1	endpoint_2
SRP056822	Homo_sapiens	SRP056822.Homo_sapiens.Pluripotent.iPSC.ASD	SRP056822.Homo_sapiens.Progenitor.iPSC_derived_NPC.ASD
SRP056822	Homo_sapiens	SRP056822.Homo_sapiens.Progenitor.iPSC_derived_NPC.ASD	SRP056822.Homo_sapiens.Differentiated.iPSC_derived_neuron.ASD
SRP058020	Mus_musculus	SRP058020.Mus_musculus.Pluripotent.iPSC_NPC	SRP058020.Mus_musculus.Progenitor.NPC
SRP059205	Homo_sapiens	SRP059205.Homo_sapiens.Pluripotent.iPSC_PBMC	SRP059205.Homo_sapiens.Progenitor.myeloid_progenitors_PBMC_iPSC
SRP059205	Homo_sapiens	SRP059205.Homo_sapiens.Pluripotent.iPSC_PBMC	SRP059205.Homo_sapiens.Progenitor.promyelocytes_PBMC_iPSC
SRP059205	Homo_sapiens	SRP059205.Homo_sapiens.Pluripotent.iPSC_PBMC	SRP059205.Homo_sapiens.Progenitor.MSC_PBMC
SRP059205	Homo_sapiens	SRP059205.Homo_sapiens.Pluripotent.iPSC_fibro	SRP059205.Homo_sapiens.Progenitor.MSC_fibro
SRP059205	Homo_sapiens	SRP059205.Homo_sapiens.Pluripotent.iPSC_cord_blood	SRP059205.Homo_sapiens.Progenitor.MSC_cord_blood
SRP059670	Mus_musculus	SRP059670.Mus_musculus.Pluripotent.iPSC	SRP059670.Mus_musculus.Differentiated.MEF
SRP060709	Mus_musculus	SRP060709.Mus_musculus.Pluripotent.iPSC.WT	SRP060709.Mus_musculus.Differentiated.MEF.WT
SRP060709	Mus_musculus	SRP060709.Mus_musculus.Pluripotent.iPSC_2i.MKOS	SRP060709.Mus_musculus.Differentiated.MEF.MKOS
SRP060709	Mus_musculus	SRP060709.Mus_musculus.Pluripotent.iPSC_2i.OKMS	SRP060709.Mus_musculus.Differentiated.MEF.OKMS
SRP061880	Homo_sapiens	SRP061880.Homo_sapiens.Progenitor.iPSC_derived_NPC.WT	SRP061880.Homo_sapiens.Differentiated.iPSC_derived_neuron.WT
SRP061880	Homo_sapiens	SRP061880.Homo_sapiens.Progenitor.iPSC_derived_NPC.CHD8_hetero	SRP061880.Homo_sapiens.Differentiated.iPSC_derived_neuron.CHD8_hetero
SRP063867	Homo_sapiens	SRP063867.Homo_sapiens.Pluripotent.iPSC_isogenic	SRP063867.Homo_sapiens.Differentiated.fibroblast_isogenic
SRP064357	Mus_musculus	SRP064357.Mus_musculus.Progenitor.ciPSC	SRP064357.Mus_musculus.Differentiated.MEF
SRP065036	Homo_sapiens	SRP065036.Homo_sapiens.Pluripotent.iPSC.Control	SRP065036.Homo_sapiens.Progenitor.NSC.Control
